,sentence_id,condition,embedding_level,expected,predicted,correct,error
0,1,-wh_no_gap,0,no_gap,gap,False,True
1,1,-wh_no_gap,0,no_gap,gap,False,True
2,1,-wh_no_gap,0,no_gap,gap,False,True
3,1,-wh_no_gap,0,no_gap,gap,False,True
4,1,-wh_no_gap,0,no_gap,gap,False,True
5,1,-wh_no_gap,0,no_gap,gap,False,True
6,1,-wh_no_gap,0,no_gap,gap,False,True
7,1,-wh_no_gap,0,no_gap,gap,False,True
8,1,-wh_no_gap,0,no_gap,gap,False,True
9,1,-wh_no_gap,0,no_gap,gap,False,True
10,1,-wh_no_gap,0,no_gap,gap,False,True
11,1,-wh_no_gap,0,no_gap,gap,False,True
12,1,-wh_no_gap,0,no_gap,gap,False,True
13,1,-wh_no_gap,0,no_gap,gap,False,True
14,1,-wh_no_gap,0,no_gap,gap,False,True
15,1,-wh_no_gap,0,no_gap,gap,False,True
16,1,-wh_no_gap,0,no_gap,gap,False,True
17,1,-wh_no_gap,0,no_gap,gap,False,True
18,1,-wh_no_gap,0,no_gap,gap,False,True
19,1,-wh_no_gap,0,no_gap,gap,False,True
20,1,-wh_no_gap,0,no_gap,gap,False,True
21,1,-wh_no_gap,0,no_gap,gap,False,True
22,1,-wh_no_gap,0,no_gap,gap,False,True
23,1,-wh_no_gap,0,no_gap,gap,False,True
24,1,-wh_no_gap,0,no_gap,gap,False,True
25,1,-wh_no_gap,0,no_gap,gap,False,True
26,1,-wh_no_gap,0,no_gap,gap,False,True
27,1,-wh_no_gap,0,no_gap,gap,False,True
28,1,-wh_no_gap,0,no_gap,gap,False,True
29,1,-wh_no_gap,0,no_gap,gap,False,True
30,1,-wh_no_gap,0,no_gap,gap,False,True
31,1,-wh_no_gap,0,no_gap,gap,False,True
32,1,-wh_no_gap,0,no_gap,gap,False,True
33,1,-wh_no_gap,0,no_gap,gap,False,True
34,1,-wh_no_gap,0,no_gap,gap,False,True
35,1,-wh_no_gap,0,no_gap,gap,False,True
36,1,-wh_no_gap,0,no_gap,gap,False,True
37,1,-wh_no_gap,0,no_gap,gap,False,True
38,1,-wh_no_gap,0,no_gap,gap,False,True
39,1,-wh_no_gap,0,no_gap,gap,False,True
40,1,-wh_no_gap,0,no_gap,gap,False,True
41,1,-wh_no_gap,0,no_gap,gap,False,True
42,1,-wh_no_gap,0,no_gap,gap,False,True
43,1,-wh_no_gap,0,no_gap,gap,False,True
44,1,-wh_no_gap,0,no_gap,gap,False,True
45,1,-wh_no_gap,0,no_gap,gap,False,True
46,1,-wh_no_gap,0,no_gap,gap,False,True
47,1,-wh_no_gap,0,no_gap,gap,False,True
48,1,-wh_no_gap,0,no_gap,gap,False,True
49,1,-wh_no_gap,0,no_gap,gap,False,True
50,1,-wh_no_gap,0,no_gap,gap,False,True
51,1,-wh_no_gap,0,no_gap,gap,False,True
52,1,-wh_no_gap,0,no_gap,gap,False,True
53,1,-wh_no_gap,0,no_gap,gap,False,True
54,1,-wh_no_gap,0,no_gap,gap,False,True
55,1,-wh_no_gap,0,no_gap,gap,False,True
56,1,-wh_no_gap,0,no_gap,gap,False,True
57,1,-wh_no_gap,0,no_gap,gap,False,True
58,1,-wh_no_gap,0,no_gap,gap,False,True
59,1,-wh_no_gap,0,no_gap,gap,False,True
60,1,-wh_no_gap,0,no_gap,gap,False,True
61,1,-wh_no_gap,0,no_gap,gap,False,True
62,1,-wh_no_gap,0,no_gap,gap,False,True
63,1,-wh_no_gap,0,no_gap,gap,False,True
64,1,-wh_no_gap,0,no_gap,gap,False,True
65,1,-wh_no_gap,0,no_gap,gap,False,True
66,1,-wh_no_gap,0,no_gap,gap,False,True
67,1,-wh_no_gap,0,no_gap,gap,False,True
68,1,-wh_no_gap,0,no_gap,gap,False,True
69,1,-wh_no_gap,0,no_gap,gap,False,True
70,1,-wh_no_gap,0,no_gap,gap,False,True
71,1,-wh_no_gap,0,no_gap,gap,False,True
72,1,-wh_no_gap,0,no_gap,gap,False,True
73,1,-wh_no_gap,0,no_gap,gap,False,True
74,1,-wh_no_gap,0,no_gap,gap,False,True
75,1,-wh_no_gap,0,no_gap,gap,False,True
76,1,-wh_no_gap,0,no_gap,gap,False,True
77,1,-wh_no_gap,0,no_gap,gap,False,True
78,1,-wh_no_gap,0,no_gap,gap,False,True
79,1,-wh_no_gap,0,no_gap,gap,False,True
80,1,-wh_no_gap,0,no_gap,gap,False,True
81,1,-wh_no_gap,0,no_gap,gap,False,True
82,1,-wh_no_gap,0,no_gap,gap,False,True
83,1,-wh_no_gap,0,no_gap,gap,False,True
84,1,-wh_no_gap,0,no_gap,gap,False,True
85,1,-wh_no_gap,0,no_gap,gap,False,True
86,1,-wh_no_gap,0,no_gap,gap,False,True
87,1,-wh_no_gap,0,no_gap,gap,False,True
88,1,-wh_no_gap,0,no_gap,gap,False,True
89,1,-wh_no_gap,0,no_gap,gap,False,True
90,1,-wh_no_gap,0,no_gap,gap,False,True
91,1,-wh_no_gap,0,no_gap,gap,False,True
92,1,-wh_no_gap,0,no_gap,gap,False,True
